model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse,rounded_acc
GCN,0,2,32,,0.01,0.07888317853212357,0.22225287556648254,0.28086149350191025,0.6875814199447632
GCN,0,2,32,,0.1,0.07914668321609497,0.22376252710819244,0.2813302031707491,0.6875814199447632
GCN,0,2,64,,0.001,0.07902945578098297,0.22211718559265137,0.2811217810504604,0.6875814199447632
GCN,0,2,64,,0.01,0.07888691127300262,0.221938818693161,0.2808681385864239,0.6872090697288513
GCN,0,2,64,,0.1,0.07912197709083557,0.22413747012615204,0.28128629026462626,0.6875814199447632
GCN,0,2,64,,0.001,0.07921116054058075,0.22315964102745056,0.2814447735179688,0.6875814199447632
GCN,0,2,64,,0.01,0.078809455037117,0.22230957448482513,0.28073021753476596,0.687022864818573
GCN,0,2,64,,0.1,0.0793585479259491,0.22260122001171112,0.28170649251650043,0.6875814199447632
GCN,0,2,64,,0.001,0.07904019951820374,0.22190304100513458,0.2811408890898009,0.6875814199447632
GCN,0,2,64,,0.01,0.07885149121284485,0.22193118929862976,0.2808050769000533,0.6872090697288513
GCN,0,2,64,,0.1,0.07930845022201538,0.2228720635175705,0.2816175602160053,0.6875814199447632
GCN,0,2,64,,0.001,0.07894167304039001,0.22229841351509094,0.2809656082875447,0.6875814199447632
GCN,0,2,64,,0.01,0.07882536947727203,0.22237855195999146,0.28075856082633,0.687022864818573
GCN,0,2,64,,0.1,0.07931984961032867,0.22280865907669067,0.28163779861788557,0.6875814199447632
GCN,0,3,16,,0.001,0.08332917094230652,0.22216275334358215,0.2886679250320453,0.5715881586074829
GCN,0,3,16,,0.01,0.0789841040968895,0.2225877344608307,0.2810411074858792,0.6873952746391296
GCN,0,3,16,,0.1,0.07921308279037476,0.22353380918502808,0.2814481884652569,0.6875814199447632
GCN,0,3,16,,0.001,0.08626551181077957,0.21973851323127747,0.29370991098493693,0.5719605088233948
GCN,0,3,16,,0.01,0.0789768323302269,0.22184136509895325,0.2810281699940896,0.6873952746391296
GCN,0,3,16,,0.1,0.07911805808544159,0.22352316975593567,0.28127932395652827,0.6875814199447632
GCN,0,3,16,,0.001,0.08607860654592514,0.22668427228927612,0.293391558409449,0.5455222129821777
GCN,0,3,16,,0.01,0.07897689938545227,0.2231067568063736,0.2810282892974518,0.6875814199447632
GCN,0,3,16,,0.1,0.0790981724858284,0.22434940934181213,0.2812439732435673,0.6875814199447632
GCN,0,3,16,,0.001,0.07955329120159149,0.22541311383247375,0.28205192997317263,0.6875814199447632
GCN,0,3,16,,0.01,0.07880344986915588,0.22249683737754822,0.28071952171011527,0.687022864818573
GCN,0,3,16,,0.1,0.0789148285984993,0.22284001111984253,0.28091783246796437,0.6875814199447632
GCN,0,3,32,,0.001,0.08085934072732925,0.21985159814357758,0.2843577688886471,0.6536957621574402
GCN,0,3,32,,0.01,0.07889464497566223,0.22266456484794617,0.2808819057462802,0.6875814199447632
GCN,0,3,32,,0.1,0.07932107150554657,0.22280192375183105,0.2816399678766254,0.6875814199447632
GCN,0,3,32,,0.001,0.08024265617132187,0.2242489904165268,0.2832713472473379,0.6352634429931641
GCN,0,3,32,,0.01,0.07886762171983719,0.22182682156562805,0.2808337973247472,0.6866505146026611
GCN,0,3,32,,0.1,0.07913792133331299,0.2240048497915268,0.2813146304999315,0.6875814199447632
GCN,0,3,32,,0.001,0.0798107460141182,0.21858163177967072,0.2825079574350397,0.6875814199447632
GCN,0,3,32,,0.01,0.07885019481182098,0.22166313230991364,0.28080276852591923,0.6879538297653198
GCN,0,3,32,,0.1,0.07924780994653702,0.22234565019607544,0.28150987539789263,0.6875814199447632
GCN,0,3,32,,0.001,0.07892657816410065,0.223229318857193,0.28093874450509787,0.6875814199447632
GCN,0,3,32,,0.01,0.07879234850406647,0.22232507169246674,0.28069974795867997,0.687022864818573
GCN,0,3,32,,0.1,0.0792282298207283,0.2233542948961258,0.2814750962709282,0.6875814199447632
GCN,0,3,64,,0.001,0.07935408502817154,0.22224101424217224,0.28169857122138825,0.6875814199447632
GCN,0,3,64,,0.01,0.07880203425884247,0.22231267392635345,0.28071700030251545,0.6873952746391296
GCN,0,3,64,,0.1,0.07909473776817322,0.22438150644302368,0.2812378668817078,0.6875814199447632
GCN,0,3,64,,0.001,0.07882819324731827,0.22268196940422058,0.28076358960399095,0.6875814199447632
GCN,0,3,64,,0.01,0.078781858086586,0.22221927344799042,0.28068106114696445,0.6877676248550415
GCN,0,3,64,,0.1,0.07926645874977112,0.22311536967754364,0.28154299627192136,0.6875814199447632
GCN,0,3,64,,0.001,0.07917626202106476,0.22349898517131805,0.2813827678111521,0.6875814199447632
GCN,0,3,64,,0.01,0.07877131551504135,0.22206972539424896,0.28066228017858286,0.6872090697288513
