model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse,tolerance_acc,rounded_acc
GAT,1,2,32,3,0.01,0.07429562509059906,0.21752071380615234,0.27257223829766497,0.2422267645597458,0.711040735244751
GAT,1,2,64,1,0.001,0.07547831535339355,0.2186615765094757,0.274733171192329,0.2684788703918457,0.7175572514533997
GAT,1,2,64,1,0.01,0.0742875337600708,0.21761628985404968,0.27255739535017354,0.2435300648212433,0.7114131450653076
GAT,1,2,64,2,0.001,0.07443046569824219,0.21746662259101868,0.2728194745582547,0.24259912967681885,0.7169986963272095
GAT,1,2,64,2,0.01,0.07426787912845612,0.21705962717533112,0.2725213370150237,0.24073728919029236,0.7097374796867371
GAT,1,2,64,3,0.001,0.07431964576244354,0.21758058667182922,0.2726162976831054,0.24259912967681885,0.7173710465431213
GAT,1,2,64,3,0.01,0.07424484938383102,0.2168196439743042,0.2724790806352499,0.24148201942443848,0.7106683850288391
GAT,1,3,16,1,0.001,0.07655990123748779,0.21220342814922333,0.27669459921994827,0.3911748230457306,0.6527647972106934
GAT,1,3,16,1,0.01,0.07437844574451447,0.21727517247200012,0.27272412021035924,0.2429715096950531,0.7175572514533997
GAT,1,3,16,2,0.001,0.0753009095788002,0.21770814061164856,0.27441011201994764,0.2614038288593292,0.7175572514533997
GAT,1,3,16,2,0.01,0.07430102676153183,0.21701009571552277,0.27258214681363824,0.2409234642982483,0.7175572514533997
GAT,1,3,16,3,0.001,0.07442507147789001,0.21746638417243958,0.2728095883173647,0.2448333501815796,0.7175572514533997
GAT,1,3,16,3,0.01,0.07424484938383102,0.21705196797847748,0.2724790806352499,0.23999254405498505,0.7175572514533997
GAT,1,3,32,1,0.001,0.07459568232297897,0.21898239850997925,0.27312210149121763,0.2614038288593292,0.7175572514533997
GAT,1,3,32,1,0.01,0.0742814838886261,0.2174229621887207,0.27254629678024633,0.24334387481212616,0.7156953811645508
GAT,1,3,32,2,0.001,0.0743074044585228,0.21783393621444702,0.27259384523228475,0.24259912967681885,0.7168124914169312
GAT,1,3,32,2,0.01,0.07424452155828476,0.21733851730823517,0.27247847907364126,0.24185439944267273,0.7158815860748291
